term,module,definition
scikit-learn,Module 10 - GLM vs OLS.docx,"A Python library that provides a wide range of algorithms for machine learning tasks, including regression, classification, clustering, and dimensionality reduction."
"self.bias1, self.bias2, self.bias3",Module 12 - Basic Artificial Neural Net (ANN).docx,"Bias vectors for each layer, initialized with zeros."
"self.weights1, self.weights2, self.weights3",Module 12 - Basic Artificial Neural Net (ANN).docx,"Weight matrices for connections between layers, initialized with random values."
sigmoid(...),Module 12 - Basic Artificial Neural Net (ANN).docx,The sigmoid activation function is applied to the weighted sum. This introduces non-linearity and produces the activations of the neurons in the first hidden layer. These activations are stored in self.hidden_layer1. The sigmoid activation function is applied again to produce the activations of the neurons in the second hidden layer. These activations are stored in self.hidden_layer2. The sigmoid activation function is applied one last time to produce the final output of the network. This output is stored in self.output_layer.
sigmoid(weighted_sum),Module 12 - Gradient Descent and Backpropagation.docx,"This is the ""baking"" process. The sigmoid function takes the weighted sum and squashes it between 0 and 1, representing the neuron's activation level."
solver='liblinear',Module 11 - Precision Recall.docx,An algorithm used for optimization in machine learning models. It's suitable for smaller datasets and binary classification problems.
statsmodels,Module 10 - GLM vs OLS.docx,"A Python module that provides classes and functions for the estimation of many different statistical models, as well as for conducting statistical tests, and statistical data exploration."
statsmodels,Module 13 - Pandas Time Series Complete.docx,A Python library for statistical modeling and analysis. The document uses it to apply the HP filter to the DOW Jones Industrial Average data.
std error,Module 08 - Coefficients and Metrics.docx,the basic standard error of the estimate of the coefficient
t,Module 08 - Coefficients and Metrics.docx,"the t-statistic value, how significant the coefficient is"
t-Test,Module 04 - Hypothesis Testing.docx,A statistical test used to compare the means of two groups.
t-statistic,Module 08 - Coefficients and Metrics.docx,This value helps determine the significance of your coefficients. It's calculated by dividing the coefficient by its standard error. A larger absolute t-value suggests the feature is a more significant predictor.
torch.argmax,Module 12 - Gradient Descent and Backpropagation.docx,"The torch.argmax(output) function finds the index of the highest logit, which corresponds to the predicted word. There's no need for an additional activation function here, as we're simply selecting the word with the highest score."
torch.nn,Module 12 - Gradient Descent and Backpropagation.docx,"PyTorch provides the torch.nn module, which contains a collection of pre-built layers, activation functions, loss functions, and other components for building neural networks. This saves you from writing these components from scratch in vanilla Python."
torch.nn Module,Module 12 - Basic Artificial Neural Net (ANN).docx,"PyTorch tensors are used extensively in the torch.nn module, which provides a collection of pre-built layers, activation functions, and other components for building neural networks."
torch.relu,Module 12 - Gradient Descent and Backpropagation.docx,Applies the ReLU activation function.
update_parameters,Module 12 - Gradient Descent and Backpropagation.docx,Updates the network's parameters using gradient descent.
v_t,Module 12 - Gradient Descent and Backpropagation.docx,Velocity at time step t Second moment estimate at time step t
"weighted_sum = np.dot(inputs, weights) + bias",Module 12 - Gradient Descent and Backpropagation.docx,This calculates the combined effect of the ingredients based on their amounts and importance.
weights,Module 12 - Gradient Descent and Backpropagation.docx,"Represents the weights associated with each input, determining its importance."
"weights = np.array([0.4, 0.7, 0.1])",Module 12 - Gradient Descent and Backpropagation.docx,"These are the ""importance"" of each ingredient (weights)."
xs,Module 12 - Gradient Descent and Backpropagation.docx,This is a dictionary that stores the one-hot encoded input vectors at each time step. Each xs[t] represents the input word at time step t.
